LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000498-mRNA-1	tr|A0A0R3Q7D3|A0A0R3Q7D3_9BILA	***	Reverse transcriptase domain-containing protein		GO:0003824
LOC_00000534-mRNA-2			Unknown protein		
LOC_00000534-mRNA-1			Unknown protein		
LOC_00000377-mRNA-1	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000377-mRNA-2	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000360-mRNA-5	tr|A0A182TP04|A0A182TP04_9DIPT	***	Aminoacyl-transfer RNA synthetases class-II family profile domain-containing protein		GO:0000166, GO:0003676, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0016874
LOC_00000360-mRNA-4	tr|A0A182TP04|A0A182TP04_9DIPT	***	Aminoacyl-transfer RNA synthetases class-II family profile domain-containing protein		GO:0000166, GO:0003676, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0016874
LOC_00000360-mRNA-1	tr|A0A182TP04|A0A182TP04_9DIPT	***	Aminoacyl-transfer RNA synthetases class-II family profile domain-containing protein		GO:0000166, GO:0003676, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0016874
LOC_00000360-mRNA-3	tr|A0A182TP04|A0A182TP04_9DIPT	***	Aminoacyl-transfer RNA synthetases class-II family profile domain-containing protein		GO:0000166, GO:0003676, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0016874
LOC_00000360-mRNA-2	tr|A0A182TP04|A0A182TP04_9DIPT	***	Aminoacyl-transfer RNA synthetases class-II family profile domain-containing protein		GO:0000166, GO:0003676, GO:0004812, GO:0005524, GO:0005737, GO:0006412, GO:0006418, GO:0016874
LOC_00000296-mRNA-1	tr|A0A8D8ITX6|A0A8D8ITX6_CULPI	***	Protein sister of odd and bowel		GO:0046872
LOC_00000296-mRNA-2	tr|A0A8D8ITX6|A0A8D8ITX6_CULPI	***	Protein sister of odd and bowel		GO:0046872
LOC_00000453-mRNA-1	tr|A0A182WPA1|A0A182WPA1_9DIPT	*-*	DUF4794 domain-containing protein		GO:0016020
LOC_00000453-mRNA-2	tr|A0A182WPA1|A0A182WPA1_9DIPT	*-*	DUF4794 domain-containing protein		GO:0016020
LOC_00000211-mRNA-9	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-8	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-7	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-6	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-5	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-4	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-3	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-2	tr|A0A8D8NHS5|A0A8D8NHS5_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000211-mRNA-1	tr|A0A8D8ACG7|A0A8D8ACG7_CULPI	***	Amino acid transporter		GO:0015293, GO:0015813, GO:0016020
LOC_00000307-mRNA-1	tr|A0A182NEB6|A0A182NEB6_9DIPT	*-*	C2H2-type domain-containing protein		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000330-mRNA-1			Unknown protein		
LOC_00000173-mRNA-1	tr|B0WAX0|B0WAX0_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000312-mRNA-1	tr|B0XG21|B0XG21_CULQU	***	Voltage-dependent para-like sodium channel		GO:0005216, GO:0005261, GO:0005886, GO:0006811, GO:0016020, GO:0034220, GO:0055085, GO:0098655
LOC_00000408-mRNA-2	tr|A0A8D8ITV9|A0A8D8ITV9_CULPI	***	E3 ubiquitin-protein ligase TRIM37		
LOC_00000408-mRNA-1	tr|A0A8D8AT63|A0A8D8AT63_CULPI	***	E3 ubiquitin-protein ligase TRIM37		
LOC_00000155-mRNA-1	tr|A0A0K0KUF8|A0A0K0KUF8_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000529-mRNA-1	tr|A0A8D8G7D4|A0A8D8G7D4_CULPI	***	small monomeric GTPase		GO:0003924, GO:0005525
LOC_00000397-mRNA-3	tr|A0A182RAT0|A0A182RAT0_ANOFN	***	ETS domain-containing protein		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0006357, GO:0043565
LOC_00000397-mRNA-2	tr|A0A182RAT0|A0A182RAT0_ANOFN	***	ETS domain-containing protein		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0006357, GO:0043565
LOC_00000397-mRNA-1	tr|A0A8W7MU39|A0A8W7MU39_ANOAR	***	ETS domain-containing protein		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0006357, GO:0043565
LOC_00000397-mRNA-4	tr|A0A182RAT0|A0A182RAT0_ANOFN	***	ETS domain-containing protein		GO:0003677, GO:0003700, GO:0005634, GO:0006355, GO:0006357, GO:0043565
LOC_00000461-mRNA-1	tr|A0A8D8FX55|A0A8D8FX55_CULPI	***	Protein wntless		GO:0000139, GO:0005783, GO:0005789, GO:0005794, GO:0005886, GO:0010008, GO:0016020, GO:0016055, GO:0017147, GO:0042734, GO:0042995, GO:0045211, GO:0097060
LOC_00000461-mRNA-2	tr|A0A8D8FX55|A0A8D8FX55_CULPI	***	Protein wntless		GO:0000139, GO:0005783, GO:0005789, GO:0005794, GO:0005886, GO:0010008, GO:0016020, GO:0016055, GO:0017147, GO:0042734, GO:0042995, GO:0045211, GO:0097060
LOC_00000461-mRNA-3	tr|A0A8D8FX55|A0A8D8FX55_CULPI	***	Protein wntless		GO:0000139, GO:0005783, GO:0005789, GO:0005794, GO:0005886, GO:0010008, GO:0016020, GO:0016055, GO:0017147, GO:0042734, GO:0042995, GO:0045211, GO:0097060
LOC_00000433-mRNA-2	tr|B0W538|B0W538_CULQU	***	Multidrug resistance-associated protein 1		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000433-mRNA-1	tr|B0W538|B0W538_CULQU	***	Multidrug resistance-associated protein 1		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000276-mRNA-3	tr|A0A8D8C4B3|A0A8D8C4B3_CULPI	***	Zinc finger protein 629		GO:0046872
LOC_00000276-mRNA-2	tr|A0A8D8C4B3|A0A8D8C4B3_CULPI	***	Zinc finger protein 629		GO:0046872
LOC_00000276-mRNA-1	tr|A0A8D8FY53|A0A8D8FY53_CULPI	***	Zinc finger protein 629		GO:0046872
LOC_00000357-mRNA-1	tr|A0A8D8BFQ4|A0A8D8BFQ4_CULPI	***	WD repeat-containing protein 82		GO:0005634, GO:0006353
LOC_00000514-mRNA-1	tr|E9NVT3|E9NVT3_AEDAL	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0043231, GO:0046872
LOC_00000458-mRNA-1	sp|B0W517|WDR12_CULQU	***	Ribosome biogenesis protein WDR12 homolog		GO:0000463, GO:0000466, GO:0005634, GO:0005654, GO:0005730, GO:0006364, GO:0030687, GO:0042254, GO:0042273, GO:0043021, GO:0070545
LOC_00000344-mRNA-13	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-11	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-12	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000344-mRNA-10	tr|A0A1S4G879|A0A1S4G879_AEDAE	***	Rho-GAP domain-containing protein		GO:0005096, GO:0007165
LOC_00000302-mRNA-1	tr|B0X964|B0X964_CULQU	***	CHK kinase-like domain-containing protein		
LOC_00000403-mRNA-1	tr|B0X5Z5|B0X5Z5_CULQU	***	Zinc finger protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000246-mRNA-1	tr|A0A8R2M6B3|A0A8R2M6B3_BOMMO	***	Reverse transcriptase domain-containing protein		GO:0071897
LOC_00000524-mRNA-1	tr|O76107|O76107_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000367-mRNA-1	tr|W5JS97|W5JS97_ANODA	***	Eukaryotic translation initiation factor 3 subunit A		GO:0003743, GO:0006413
LOC_00000256-mRNA-2	tr|A0A8D8BFE0|A0A8D8BFE0_CULPI	***	UDP-glucuronosyltransferase		GO:0008194, GO:0016020, GO:0016740, GO:0016757
LOC_00000256-mRNA-3	tr|A0A8D8BFE0|A0A8D8BFE0_CULPI	***	UDP-glucuronosyltransferase		GO:0008194, GO:0016020, GO:0016740, GO:0016757
LOC_00000413-mRNA-1	tr|B0X5X2|B0X5X2_CULQU	***	Transcriptional regulator ATRX		GO:0000166, GO:0003677, GO:0004386, GO:0005524, GO:0005634, GO:0006338, GO:0016787, GO:0016887, GO:0043229, GO:0140658
LOC_00000256-mRNA-1	tr|A0A8D8BFE0|A0A8D8BFE0_CULPI	***	UDP-glucuronosyltransferase		GO:0008194, GO:0016020, GO:0016740, GO:0016757
LOC_00000413-mRNA-2	tr|B0X5X2|B0X5X2_CULQU	***	Transcriptional regulator ATRX		GO:0000166, GO:0003677, GO:0004386, GO:0005524, GO:0005634, GO:0006338, GO:0016787, GO:0016887, GO:0043229, GO:0140658
LOC_00000413-mRNA-3	tr|B0X5X2|B0X5X2_CULQU	***	Transcriptional regulator ATRX		GO:0000166, GO:0003677, GO:0004386, GO:0005524, GO:0005634, GO:0006338, GO:0016787, GO:0016887, GO:0043229, GO:0140658
LOC_00000206-mRNA-1	tr|A0A182GZ00|A0A182GZ00_AEDAL	***	AB hydrolase-1 domain-containing protein		GO:0016020
LOC_00000206-mRNA-2	tr|A0A182GZ00|A0A182GZ00_AEDAL	***	AB hydrolase-1 domain-containing protein		GO:0016020
LOC_00000236-mRNA-1	tr|A0A8D8C0L8|A0A8D8C0L8_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000390-mRNA-1	tr|X5I1A5|X5I1A5_AEDAE	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000491-mRNA-2	tr|A0A8D8NIT1|A0A8D8NIT1_CULPI	***	Coiled-coil domain-containing protein 85C		GO:0005912
LOC_00000491-mRNA-1	tr|A0A8D8NIT1|A0A8D8NIT1_CULPI	***	Coiled-coil domain-containing protein 85C		GO:0005912
LOC_00000491-mRNA-4	tr|A0A8D8NIT1|A0A8D8NIT1_CULPI	***	Coiled-coil domain-containing protein 85C		GO:0005912
LOC_00000491-mRNA-3	tr|A0A8D8NIT1|A0A8D8NIT1_CULPI	***	Coiled-coil domain-containing protein 85C		GO:0005912
LOC_00000491-mRNA-6	tr|A0A8D8NIT1|A0A8D8NIT1_CULPI	***	Coiled-coil domain-containing protein 85C		GO:0005912
LOC_00000491-mRNA-5	tr|A0A8D8NIT1|A0A8D8NIT1_CULPI	***	Coiled-coil domain-containing protein 85C		GO:0005912
LOC_00000448-mRNA-4	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000448-mRNA-3	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000448-mRNA-2	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000448-mRNA-1	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000337-mRNA-1	tr|B0WGM4|B0WGM4_CULQU	***	Protein Wnt		GO:0005102, GO:0005576, GO:0007165, GO:0007267, GO:0016055, GO:0048699
LOC_00000478-mRNA-1	sp|Q17NH9|MED11_AEDAE	***	Mediator of RNA polymerase II transcription subunit 11		GO:0003712, GO:0005634, GO:0006357, GO:0016592
LOC_00000468-mRNA-1	tr|A0A8D8MLW9|A0A8D8MLW9_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000468-mRNA-2	tr|A0A182NE54|A0A182NE54_9DIPT	***	Gem-associated protein 8		
LOC_00000226-mRNA-1	tr|A0A6H5GTQ9|A0A6H5GTQ9_9HEMI	*-*	RNase H type-1 domain-containing protein		GO:0000166, GO:0003676, GO:0004523, GO:0005524, GO:0005737, GO:0005856, GO:0005874, GO:0007018, GO:0008569, GO:0016887, GO:0030286, GO:0045505, GO:0051959, GO:0090304
LOC_00000504-mRNA-1	tr|A0A8D8B794|A0A8D8B794_CULPI	***	Polyserase-2		GO:0004252, GO:0005576, GO:0006508
LOC_00000347-mRNA-1	tr|B0X8X3|B0X8X3_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
